School Code,FCI,Sqft,System,"Total Cost by School, By System",Priority1 Count,Priority2 Count,Priority3 Count,Priority4 Count,Priority1 Cost,Priority2 Cost,Priority3 Cost,Priority4 Cost
CO-1420-0109,0.14379955,115749.94,HVAC,"$1,636,407.12 ",,4,5,,,"$396,590.75 ","$1,239,816.38 ",
CO-1420-0109,0.14379955,115749.94,Interior,"$1,275,179.83 ",1,,3,14,"$14,713.44 ",,"$494,457.59 ","$766,008.80 "
CO-1420-0109,0.14379955,115749.94,Other,"$92,165.15 ",1,,3,2,"$24,434.82 ",,"$9,507.15 ","$58,223.19 "
CO-1420-0109,0.14379955,115749.94,Plumbing,"$89,349.57 ",,4,1,1,,"$81,309.73 ","$1,296.18 ","$6,743.66 "
CO-1420-0109,0.14379955,115749.94,Roofing,"$1,131,091.01 ",1,2,1,,"$880,230.00 ","$197,230.16 ","$53,630.85 ",
CO-1420-0109,0.14379955,115749.94,Site,"$50,453.74 ",,1,,5,,"$1,059.72 ",,"$49,394.02 "
CO-1420-0109,0.14379955,115749.94,Specialties,"$701,697.80 ",,,1,5,,,"$22,735.76 ","$678,962.04 "
CO-1420-0109,0.14379955,115749.94,Structure,"$5,175.97 ",,,,1,,,,"$5,175.97 "
CO-1420-2946,0.100820515,51259.02,Electrical,$875.80 ,,,1,,,,$875.80 ,
CO-1420-2946,0.100820515,51259.02,Exterior,"$77,991.18 ",,1,,2,,"$21,457.10 ",,"$56,534.08 "
CO-1420-2946,0.100820515,51259.02,HVAC,"$555,000.00 ",1,3,,,"$166,500.00 ","$388,500.00 ",,
CO-1420-2946,0.100820515,51259.02,Interior,"$155,764.21 ",,,1,3,,,"$104,062.50 ","$51,701.71 "
CO-1420-2946,0.100820515,51259.02,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-2946,0.100820515,51259.02,Plumbing,"$144,803.77 ",,1,2,3,,"$2,220.00 ","$80,811.72 ","$61,772.06 "
CO-1420-2946,0.100820515,51259.02,Roofing,"$646,068.04 ",,,1,,,,"$646,068.04 ",
CO-1420-2946,0.100820515,51259.02,Site,"$433,180.41 ",,,4,4,,,"$169,872.71 ","$263,307.70 "
CO-1420-2946,0.100820515,51259.02,Specialties,"$193,291.26 ",,,3,5,,,"$35,756.09 ","$157,535.17 "
CO-1420-3726,0.146350896,52413.91,Electrical,"$239,684.49 ",,1,2,1,,"$194,250.00 ","$1,672.51 ","$43,761.97 "
CO-1420-3726,0.146350896,52413.91,Exterior,"$81,549.51 ",,1,,1,,"$21,457.10 ",,"$60,092.41 "
CO-1420-3726,0.146350896,52413.91,HVAC,"$1,627,253.72 ",1,5,6,1,"$166,500.00 ","$1,134,350.21 ","$309,530.53 ","$16,872.98 "
CO-1420-3726,0.146350896,52413.91,Interior,"$693,277.97 ",,,1,8,,,"$141,525.00 ","$551,752.97 "
CO-1420-3726,0.146350896,52413.91,Other,"$4,441.75 ",1,,2,,$1.75 ,,"$4,440.00 ",
CO-1420-3726,0.146350896,52413.91,Plumbing,"$43,765.28 ",1,2,,,"$7,770.00 ","$35,995.28 ",,
CO-1420-3726,0.146350896,52413.91,Site,"$112,359.42 ",,,2,2,,,"$43,705.76 ","$68,653.66 "
CO-1420-3726,0.146350896,52413.91,Specialties,"$14,104.31 ",,,,3,,,,"$14,104.31 "
CO-1420-5024,0.10548326,47473,Electrical,"$230,072.20 ",,,2,1,,,"$190,836.36 ","$39,235.84 "
CO-1420-5024,0.10548326,47473,Exterior,"$54,506.28 ",,2,,1,,"$50,512.64 ",,"$3,993.65 "
CO-1420-5024,0.10548326,47473,HVAC,"$461,458.98 ",,,4,,,,"$461,458.98 ",
CO-1420-5024,0.10548326,47473,Interior,"$689,445.46 ",,,1,5,,,"$104,062.50 ","$585,382.96 "
CO-1420-5024,0.10548326,47473,Other,"$13,198.00 ",,,3,,,,"$13,198.00 ",
CO-1420-5024,0.10548326,47473,Plumbing,"$9,990.00 ",1,1,,,"$7,770.00 ","$2,220.00 ",,
CO-1420-5024,0.10548326,47473,Site,"$146,891.32 ",,,1,1,,,"$138,750.00 ","$8,141.32 "
CO-1420-5024,0.10548326,47473,Specialties,"$111,324.41 ",,1,1,5,,"$2,131.34 ","$29,532.06 ","$79,661.00 "
CO-1420-6330,0.093783795,4160,Electrical,"$24,172.08 ",,1,,,,"$24,172.08 ",,
CO-1420-6330,0.093783795,4160,Exterior,"$33,836.81 ",,1,1,,,"$27,750.00 ","$6,086.81 ",
CO-1420-6330,0.093783795,4160,Fire and Life Safety,"$11,100.00 ",1,,,,"$11,100.00 ",,,
CO-1420-6330,0.093783795,4160,HVAC,"$1,353,838.98 ",2,2,2,1,"$251,432.66 ","$376,895.09 ","$467,861.07 ","$257,650.16 "
CO-1420-6330,0.093783795,4160,Interior,"$1,327,039.10 ",1,,4,4,$563.31 ,,"$497,887.96 ","$828,587.83 "
CO-1420-6330,0.093783795,4160,Other,"$6,660.00 ",,,2,,,,"$6,660.00 ",
CO-1420-6330,0.093783795,4160,Plumbing,"$171,464.80 ",1,2,2,,"$2,189.50 ","$52,763.89 ","$116,511.41 ",
CO-1420-6330,0.093783795,4160,Site,"$935,567.90 ",,,5,7,,,"$283,969.02 ","$651,598.87 "
CO-1420-6330,0.093783795,4160,Specialties,"$121,939.96 ",,,,6,,,,"$121,939.96 "
CO-1420-6330,0.093783795,4160,Stairs and Elevators,"$38,044.75 ",,,,1,,,,"$38,044.75 "
CO-1420-6330,0.093783795,4160,Structure,"$193,763.09 ",,1,1,,,"$111,000.00 ","$82,763.09 ",
CO-1420-6828,0.136832639,42833.71,Electrical,"$122,975.80 ",,1,2,,,"$38,850.00 ","$84,125.80 ",
CO-1420-6828,0.136832639,42833.71,Exterior,"$57,158.15 ",,1,,1,,"$51,342.84 ",,"$5,815.31 "
CO-1420-6828,0.136832639,42833.71,HVAC,"$906,633.04 ",,1,2,,,"$405,150.00 ","$501,483.04 ",
CO-1420-6828,0.136832639,42833.71,Interior,"$439,461.03 ",,,1,2,,,"$212,287.50 ","$227,173.53 "
CO-1420-6828,0.136832639,42833.71,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-6828,0.136832639,42833.71,Plumbing,"$148,925.19 ",,2,2,,,"$20,383.47 ","$128,541.72 ",
CO-1420-6828,0.136832639,42833.71,Site,"$454,840.99 ",,,4,2,,,"$261,839.22 ","$193,001.77 "
CO-1420-6828,0.136832639,42833.71,Specialties,"$56,766.28 ",,,,4,,,,"$56,766.28 "
CO-1420-6828,0.136832639,42833.71,Stairs and Elevators,"$44,884.75 ",,,,2,,,,"$44,884.75 "
CO-1420-6828,0.136832639,42833.71,Structure,"$15,084.78 ",1,,,,"$15,084.78 ",,,
CO-1420-7708,0.155775902,46372.64,Electrical,"$39,725.80 ",,1,1,,,"$38,850.00 ",$875.80 ,
CO-1420-7708,0.155775902,46372.64,Exterior,"$98,105.74 ",,1,,1,,"$21,457.10 ",,"$76,648.64 "
CO-1420-7708,0.155775902,46372.64,HVAC,"$762,933.87 ",1,2,1,,"$166,500.00 ","$271,950.00 ","$324,483.87 ",
CO-1420-7708,0.155775902,46372.64,Interior,"$1,216,819.54 ",,,3,8,,,"$310,093.34 ","$906,726.20 "
CO-1420-7708,0.155775902,46372.64,Plumbing,"$324,540.04 ",2,2,7,,"$222,000.00 ","$22,200.00 ","$80,340.04 ",
CO-1420-7708,0.155775902,46372.64,Roofing,"$9,593.90 ",,1,,,,"$9,593.90 ",,
CO-1420-7708,0.155775902,46372.64,Site,"$128,397.03 ",,,2,2,,,"$118,735.89 ","$9,661.14 "
CO-1420-7708,0.155775902,46372.64,Specialties,"$179,565.80 ",,,1,3,,,"$95,819.52 ","$83,746.28 "
CO-1420-8432,0.246085512,54461.55,Electrical,"$422,631.02 ",,1,4,2,,"$61,050.00 ","$312,571.26 ","$49,009.76 "
CO-1420-8432,0.246085512,54461.55,Exterior,$963.38 ,,,,1,,,,$963.38 
CO-1420-8432,0.246085512,54461.55,HVAC,"$3,310,628.90 ",1,3,4,1,"$166,500.00 ","$2,874,900.00 ","$258,103.86 ","$11,125.04 "
CO-1420-8432,0.246085512,54461.55,Interior,"$340,503.31 ",,,2,5,,,"$154,815.44 ","$185,687.87 "
CO-1420-8432,0.246085512,54461.55,Other,"$35,508.03 ",,,3,,,,"$35,508.03 ",
CO-1420-8432,0.246085512,54461.55,Plumbing,"$18,295.71 ",1,1,1,,"$7,770.00 ","$7,770.00 ","$2,755.71 ",
CO-1420-8432,0.246085512,54461.55,Site,"$104,303.08 ",,,1,3,,,"$11,530.54 ","$92,772.55 "
CO-1420-8432,0.246085512,54461.55,Specialties,"$798,534.84 ",,,,6,,,,"$798,534.84 "
CO-1420-8834,0.050317297,#N/A,Electrical,$875.80 ,,,1,,,,$875.80 ,
CO-1420-8834,0.050317297,#N/A,Exterior,"$26,266.60 ",,2,1,1,,"$12,940.82 ","$2,225.77 ","$11,100.00 "
CO-1420-8834,0.050317297,#N/A,HVAC,"$327,388.31 ",1,,1,,"$85,404.79 ",,"$241,983.52 ",
CO-1420-8834,0.050317297,#N/A,Interior,"$207,014.62 ",,1,1,1,,"$2,419.78 ","$162,337.50 ","$42,257.34 "
CO-1420-8834,0.050317297,#N/A,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-8834,0.050317297,#N/A,Plumbing,"$6,743.66 ",,,,1,,,,"$6,743.66 "
CO-1420-8834,0.050317297,#N/A,Site,"$384,249.42 ",,,6,2,,,"$366,239.47 ","$18,009.95 "
CO-1420-8834,0.050317297,#N/A,Specialties,"$5,905.95 ",,,,2,,,,"$5,905.95 "
CO-1420-0148,0.109653385,40644,Electrical,"$10,281.90 ",,,1,1,,,$875.80 ,"$9,406.10 "
CO-1420-0148,0.109653385,40644,Exterior,"$146,593.59 ",,1,3,2,,"$111,000.00 ","$19,969.32 ","$15,624.27 "
CO-1420-0148,0.109653385,40644,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-0148,0.109653385,40644,HVAC,"$989,321.59 ",,3,,,,"$989,321.59 ",,
CO-1420-0148,0.109653385,40644,Interior,"$116,550.00 ",,,1,1,,,"$61,050.00 ","$55,500.00 "
CO-1420-0148,0.109653385,40644,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-0148,0.109653385,40644,Plumbing,"$27,750.00 ",,2,,,,"$27,750.00 ",,
CO-1420-0148,0.109653385,40644,Site,"$402,730.28 ",,,5,2,,,"$373,421.56 ","$29,308.72 "
CO-1420-0148,0.109653385,40644,Specialties,"$18,068.10 ",,,1,2,,,"$5,174.91 ","$12,893.19 "
CO-1420-0148,0.109653385,40644,Structure,"$111,000.00 ",,1,,,,"$111,000.00 ",,
CO-1420-0378,0.060845666,237053.02,Electrical,"$1,731,715.03 ",,1,4,,,"$704,850.00 ","$1,026,865.03 ",
CO-1420-0378,0.060845666,237053.02,Exterior,"$103,262.27 ",,2,2,4,,"$13,720.29 ","$11,340.06 ","$78,201.92 "
CO-1420-0378,0.060845666,237053.02,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-0378,0.060845666,237053.02,HVAC,"$5,228,460.46 ",1,2,1,,"$494,856.25 ","$4,612,305.92 ","$121,298.29 ",
CO-1420-0378,0.060845666,237053.02,Interior,"$1,836,617.01 ",,,2,9,,,"$394,252.72 ","$1,442,364.29 "
CO-1420-0378,0.060845666,237053.02,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-0378,0.060845666,237053.02,Plumbing,"$22,212.71 ",,1,,1,,"$11,100.00 ",,"$11,112.71 "
CO-1420-0378,0.060845666,237053.02,Site,"$216,297.29 ",,,4,1,,,"$190,949.13 ","$25,348.16 "
CO-1420-0378,0.060845666,237053.02,Specialties,"$168,952.41 ",,,2,1,,,"$147,902.37 ","$21,050.04 "
CO-1420-0378,0.060845666,237053.02,Stairs and Elevators,"$58,433.37 ",,,1,2,,,"$54,755.01 ","$3,678.36 "
CO-1420-0378,0.060845666,237053.02,Structure,"$1,511.07 ",,,,1,,,,"$1,511.07 "
CO-1420-1244,0.110465052,43487.1,Electrical,"$268,964.02 ",,2,2,,,"$92,220.59 ","$176,743.44 ",
CO-1420-1244,0.110465052,43487.1,Exterior,"$19,968.23 ",,,1,,,,"$19,968.23 ",
CO-1420-1244,0.110465052,43487.1,Fire and Life Safety,"$8,325.00 ",,,,1,,,,"$8,325.00 "
CO-1420-1244,0.110465052,43487.1,HVAC,"$525,751.61 ",2,2,1,,"$403,835.05 ","$91,386.18 ","$30,530.38 ",
CO-1420-1244,0.110465052,43487.1,Interior,"$568,042.50 ",,,2,9,,,"$225,607.50 ","$342,435.00 "
CO-1420-1244,0.110465052,43487.1,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-1244,0.110465052,43487.1,Plumbing,"$5,550.00 ",,,,1,,,,"$5,550.00 "
CO-1420-1244,0.110465052,43487.1,Roofing,"$156,339.05 ",,1,,,,"$156,339.05 ",,
CO-1420-1244,0.110465052,43487.1,Site,"$427,350.00 ",,1,2,1,,"$55,500.00 ","$360,750.00 ","$11,100.00 "
CO-1420-1244,0.110465052,43487.1,Specialties,"$115,876.23 ",,,,4,,,,"$115,876.23 "
CO-1420-2288,0.070309903,129098,Electrical,"$824,617.49 ",,1,6,1,,"$333,000.00 ","$480,330.18 ","$11,287.31 "
CO-1420-2288,0.070309903,129098,Exterior,"$103,343.51 ",2,,1,1,"$68,031.26 ",,"$5,359.89 ","$29,952.36 "
CO-1420-2288,0.070309903,129098,Fire and Life Safety,"$449,920.75 ",,,1,,,,"$449,920.75 ",
CO-1420-2288,0.070309903,129098,HVAC,"$1,264,880.25 ",,2,2,1,,"$965,700.00 ","$226,860.20 ","$72,320.05 "
CO-1420-2288,0.070309903,129098,Interior,"$164,043.88 ",,,1,7,,,"$8,699.85 ","$155,344.03 "
CO-1420-2288,0.070309903,129098,Other,"$6,660.00 ",,,2,,,,"$6,660.00 ",
CO-1420-2288,0.070309903,129098,Plumbing,"$41,070.00 ",,1,1,,,"$7,770.00 ","$33,300.00 ",
CO-1420-2288,0.070309903,129098,Roofing,"$29,006.50 ",,1,,,,"$29,006.50 ",,
CO-1420-2288,0.070309903,129098,Site,"$513,295.44 ",,2,3,7,,"$14,201.26 ","$256,375.22 ","$242,718.95 "
CO-1420-2288,0.070309903,129098,Specialties,"$85,921.09 ",,,1,1,,,"$55,415.23 ","$30,505.86 "
CO-1420-2866,0.216577569,65145.9,Electrical,"$278,578.49 ",,,3,1,,,"$276,697.27 ","$1,881.22 "
CO-1420-2866,0.216577569,65145.9,Exterior,"$198,281.10 ",,2,1,,,"$186,107.48 ","$12,173.61 ",
CO-1420-2866,0.216577569,65145.9,Fire and Life Safety,"$8,236.95 ",2,,,,"$8,236.95 ",,,
CO-1420-2866,0.216577569,65145.9,HVAC,"$2,970,898.63 ",1,7,4,2,"$166,500.00 ","$1,480,637.23 ","$1,246,225.08 ","$77,536.32 "
CO-1420-2866,0.216577569,65145.9,Interior,"$1,093,082.67 ",,,3,6,,,"$125,791.44 ","$967,291.23 "
CO-1420-2866,0.216577569,65145.9,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
