NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Electrical,4,Deficiency Data Oct 25,EA,,50084.68,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Exterior,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Exterior,2,Deficiency Data Oct 25,EA,,35854.39,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Exterior,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Exterior,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Fire and Life Safety,1,Deficiency Data Oct 25,EA,,2686.95,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Fire and Life Safety,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Fire and Life Safety,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Fire and Life Safety,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Interior,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Interior,2,Deficiency Data Oct 25,EA,,63267.79,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Interior,3,Deficiency Data Oct 25,EA,,148699.33,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Interior,4,Deficiency Data Oct 25,EA,,26694.38,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,HVAC,1,Deficiency Data Oct 25,EA,,166500,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,HVAC,2,Deficiency Data Oct 25,EA,,176820.46,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,HVAC,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,HVAC,4,Deficiency Data Oct 25,EA,,7416.7,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Other,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Other,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Other,3,Deficiency Data Oct 25,EA,,2775,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Other,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Plumbing,1,Deficiency Data Oct 25,EA,,None,,
