UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,Enrollment,Available Seats,Utilization,Future_EnrollmentGrowth,DistanceUnderutilizedschools,BuildingTreshhold,EducationalAdequacy,Below50PCTL_EA_Cat,DepartmentalDeficiency,SiteCapacity,Scorecard, SquareFt ,BuildingScore,RecentInvestments
CO-1420-2120,D'Evelyn Junior/Senior High School,Active,Yes,Option,1320,1212,108,0.918181818,0.007419621,,,0.669425657,Yes,,Yes,,"154,002",8,
CO-1420-0033,McLain Community High School,Active,Yes,Alternative,738,349,389,0.472899729,,,,0.471006437,Yes,,No,,"79,113",5,
CO-1420-0660,Bear Creek K-8,Active,Yes,Multi-Level,1138,863,275,0.758347979,-0.079633996,,,0.675799289,Yes,,Yes,,"122,367",8,
CO-1420-2300,Dunstan Middle School,Active,Yes,Middle,1008,798,210,0.791666667,0.232472325,,,0.899999945,No,,Yes,,"135,745",9,
CO-1420-7870,Sierra Elementary,Active,Yes,Elementary,655,493,162,0.752671756,0.013085523,,,0.855543183,Yes,,No,,"69,882",9,
CO-1420-9299,Wayne Carle Middle School,Active,Yes,Middle,706,438,268,0.620396601,-0.075471698,,,0.779640607,No,,Yes,,"105,483",8,
CO-1420-1451,Addenbrooke Classical Academy,Active,No,Charter,0,191,-191,0,#N/A,,,,,,Yes,, -   ,9,
CO-1420-0491,Addenbrooke Classical Academy (PK - 8th),Active,No,Charter,0,774,-774,0,0.015136226,,,,,,No,, -   ,9,
CO-1420-7701,Collegiate Academy,Active,No,Charter,0,304,-304,0,-0.184750733,,,,,,Yes,, -   ,9,
CO-1420-1880,Compass Montessori,Active,No,Charter,0,425,-425,0,0.017073171,,,,,,Yes,, -   ,9,
CO-1420-1869,Compass Montessori Wheat Ridge,Active,No,Charter,0,288,-288,0,-0.006825939,,,,,,No,, -   ,9,
CO-1420-2189,Doral Academy of Colorado,Active,No,Charter,0,168,-168,0,-0.110465116,,,,,,Yes,, -   ,9,
CO-1420-2799,Excel Academy,Active,No,Charter,0,446,-446,0,0.018390805,,,,,,Yes,, -   ,9,
CO-1420-3691,Great Work Montessori,Closed,No,Charter,0,0,0,0,,,,,,,No,, -   ,9,
CO-1420-9980,Jeffco Central Services,Active,No,Option,0,0,0,0,#N/A,,,,,,Yes,, -   ,9,
CO-1420-4404,Jefferson Academy,Active,No,Charter,0,1198,-1198,0,0.046783626,,,,,,Yes,, -   ,9,
CO-1420-4402,Jefferson Academy Elementary,Active,No,Charter,0,737,-737,0,#N/A,,,,,,No,, -   ,9,
CO-1420-4410,Jefferson Academy Secondary,Active,No,Charter,0,696,-696,0,,,,,,,Yes,, -   ,9,
CO-1420-5145,Lincoln Academy,Active,No,Charter,0,824,-824,0,-0.01076555,,,,,,Yes,, -   ,9,
CO-1420-5994,Montessori Peaks Academy,Active,No,Charter,0,479,-479,0,-0.031779661,,,,,,No,, -   ,9,
CO-1420-6139,Mountain Phoenix Community School,Active,No,Charter,0,650,-650,0,0.046686747,,,,,,Yes,, -   ,9,
CO-1420-6237,New America School,Active,No,Charter,0,74,-74,0,-0.083333333,,,,,,Yes,, -   ,9,
CO-1420-7462,Rocky Mountain Academy of Evergreen,Active,No,Charter,0,350,-350,0,-0.090634441,,,,,,No,, -   ,9,
CO-1420-5415,Rocky Mountain Deaf School,Active,No,Charter,0,82,-82,0,-0.040540541,,,,,,Yes,, -   ,9,
CO-1420-8793,Two Roads Charter School,Active,No,Charter,0,630,-630,0,-0.03164557,,,,,,Yes,, -   ,9,
CO-1420-1001,Warren Tech South,Active,No,Option,143,0,143,0,,,,0.692876653,Yes,,No,, -   ,9,
CO-1420-9427,Woodrow Wilson Academy,Active,No,Charter,0,852,-852,0,-0.00729927,,,,,,Yes,, -   ,9,
CO-1420-4550,Kendrick Lakes Elementary,Active,Yes,Elementary,461,443,18,0.960954447,-0.026162716,,,0.817314574,No,,Yes,,"58,511",9,
CO-1420-8856,Three Creeks K-8,Active,Yes,Multi-Level,1001,1050,-49,1.048951049,0.083262532,,,0.702362379,Yes,,No,,"100,856",9,
CO-1420-6285,Norma Anderson Early Learning Center,Active,No,Option,96,112,-16,1.166666667,0.25,,,0.668578875,Yes,,Yes,,"13,742",2,
